,speechiness,tempo
0Ad93Ruu1wGsmwOKa3at9f,0.0292,130.239
4w4eer52fj2QiDJRP9c3D2,0.169,120.226
0BKVFVPPUeOpTEPKSfqljz,0.0296,87.196
5ubqSAc9LxUS2CsMHcA4kF,0.0358,91.17
1GqfuGDmnaeoAYA35Knwgh,0.0504,186.401
1fpfZyi25WoZ7vAmQfXXTA,0.0455,149.789
7furCGpHlxNFNsybOVBlGX,0.0541,120.057
4rp9YObc6Q5xc6X1S8c7m9,0.0431,93.261
5UWB4UcasxL1TFZiAXegAw,0.0283,125.042
0khnsS3vcqT6qngEhZCk4c,0.121,153.763
13WeUU5QGyF9V5yObsWlmY,0.0272,131.404
0vxme66VDKcZTrrDnQm6OF,0.036,136.967
4jJ3OcLol9X4pQ9xMOYq3O,0.0529,122.373
2T8NKXhRHLTXz6moOJICSm,0.0288,105.971
57ivEAWqHTUcTYeXc5lRvd,0.0364,115.095
6qrkgI7fzIOism2dqFVVxy,0.354,175.902
3QxgOiZSkuyq7hALKV3fJa,0.498,141.763
3hE1UD7Mbcvd8j9rsbhoch,0.065,85.075
0oMp06EjwhYFvDB33VCiW3,0.0329,114.99
07Ew3kmtUvcaudIIrgZi9E,0.118,97.525
6v6XfMgyc2JFAgXvrXlR88,0.045,72.003
0yxnjcQcwlSiozp89EdcNA,0.0399,78.009
6wBWnrZ3kKw18mg9GT534L,0.0743,141.058
1IIsz991pWkn4sFAu8WKh1,0.0944,153.903
3xKTpGCsafXzV4muM1Hpl3,0.0298,140.043
7jhskwvshBTaJ9EfMVZQqO,0.458,79.964
0SZim5k1ypcgRsWmFcrGfs,0.0322,144.22
0kAv1wGVCGPIHEH1hFJNcG,0.175,110.018
3m8lTUL5GxGUNSaycI77ND,0.0336,146.68
7gjm1sq5ALU5svBSi9g178,0.0338,143.475
4GMCZUi6cVQJ5wPWwJ36rW,0.0869,156.062
3jd6ie2tFAKaRmJe1miqSG,0.085,74.001
4BAxFzRaqAQwU47nWDqb3g,0.155,81.9
4OegwIs19XU8f9ChR0y2uL,0.047,122.338
2NjZBIrONjjoKum9hblXt2,0.0251,105.059
4Dw6V4mhZAGkFSTQ4GUMIZ,0.271,90.968
