,speechiness,tempo
4LM7EjO5hFpsSaXJq6j2Mi,0.0279,141.796
2YMhrXQYKkm4kXLcXKKd5z,0.0287,72.997
6fo3vAnEA8NLICFCzYfVI8,0.044,99.992
74ODGXs4byLTRdnKGM4s6E,0.144,96.011
2Kzv1lCjFD0cAOvnHHRvLz,0.0431,151.926
1iEW4lIeD5IuGDo9zP9lHW,0.0953,78.87
6ABtlkvl08XQo6Xu24FJaf,0.0355,187.159
3o08VfBerU1436hEJdGeBb,0.0312,109.99
4efQTJSX6Jca1hHZNi74Zd,0.0441,92.009
7pYPpFhFyOwCjf4y7vdJqM,0.0294,89.981
0YsgWDcnhQEXChiMUtah1d,0.0403,123.031
3ZZY9a3kFLGVjqDNqWJOeq,0.108,128.101
76cy1WJvNGJTj78UqeA5zr,0.0943,97.028
2eAvDnpXP5W0cVtiI0PUxV,0.0259,116.959
3ongoHll2Yu9CxO8zjj7jN,0.0619,171.948
0TD0ydYJuFPEaqshquDEpw,0.0324,144.015
1ms5tNNdPouTtcD2oVF9Oz,0.0485,140.008
2jQiSYrwJehQAcuaaQrXnS,0.0335,107.34
0rgeqFt46ZuOKiEbNWQTQo,0.0421,124.005
3BFrR2hemusNSuiuNWXUqO,0.0475,111.996
2IqNbflEkshezwf3F814H8,0.0292,91.018
3ZvsUZUtHx24yoMZ2QxR4h,0.363,99.983
2ZTCl6wQMDSMfY4s8GHZdj,0.0258,134.977
34AWo71Ya5gq7wpNnatwr7,0.039,111.588
4Y3LkL71vaovrZypglxrX3,0.0465,123.057
7BTmtN6bP35E54vVASTqao,0.0469,73.946
6X1d3iLrFavDCtZFEii4ee,0.658,89.577
6WQLkih8nE0JdUCEyLaGnQ,0.0643,125.904
0XVR94voJPToKX1XoOw0ot,0.0308,139.865
4b9hdMCEKybWzkqVrWCGQL,0.0349,144.023
4uF2wAqGOj7GLnxBIaehFW,0.0778,82.04
3r3ljaX5TTCox5AQigd0RA,0.108,92.791
3qPX3r2k0ioIzM7f7u1CX3,0.0264,128.067
3KYlOzxN5xO7eEauO1VF06,0.0375,84.847
7uX49tIvr8UYAw8Eii5c6G,0.044,180.174
4WRRCuJYRq7gUKiupxVH9W,0.0335,87.401
746nPV2NXSoxW3imGpG8gk,0.264,93.938
4pqr2uLq1CHNSaIeciJpEv,0.0487,84.195
1vEL8XndGbyYAGvK49CzUE,0.0326,125.899
7MtIfFyKeTnLp8ovMSORNu,0.0685,124.932
4HMhDkyOObFngSAz2xeQhK,0.0801,154.017
3MoJoDStgGIfFEGkRzUSEB,0.0443,86.745
3kS9f8YsnypXn5xGu90uHa,0.0815,107.014
4WxYhNiwUubKHXRFz4uY7z,0.0537,137.941
2sCkKNHFQBgixVikRQuCHu,0.124,79.677
08QaHlMPWuO5PUxjl61bXn,0.0495,70.507
4ImiLH0o8YR38WXtCLdclM,0,0
6SjiIUxQw3QHhxC4jVdDic,0.0322,106.152
14BgJ8P8N7tl4z9oNBv6Om,0.185,97.063
4YwbSZaYeYja8Umyt222Qf,0.0308,97.527
42tcDJD6gFl469vffWovWf,0.191,92.499
6olKv2HP3XgBpvVxAswowe,0.034,101.011
5JlH51YDYsGj2dyEJKKjcN,0.0345,89.87
21pusgGQghtpXEphhzmXrI,0.057,139.969
7EEpwZQXUxUOAHNH9ALY03,0.0385,170.042
7yMiX7n9SBvadzox8T5jzT,0.171,167.953
1sTaUuwL1sohektq0D1T1f,0.0272,104.123
0PaemlGLiH2O6nAxRCzmee,0.0341,99.012
37eQOxowTLGWEEhV3t04ae,0.12,129.002
2BOof6lYrGfz6BojJ0aeJd,0.0402,73.331
6UChsLliOFwRdXCWS4Garr,0.271,86.97
0ZUo4YjG4saFnEJhdWp9Bt,0.0405,147.905
2b9lp5A6CqSzwOrBfAFhof,0.115,137.571
6He0K0vTMdPdbweh18nnrB,0.0594,134.876
46dszOgLrnBSqbo6Vkc91Q,0.0363,140.082
7IsXXgpowAB48crGjV1oGb,0.0307,101.718
6c40fJJA0iMZMIiUtoiGIq,0.271,138.841
5u0YB9bpmgEPS2bPhwfRFV,0.0634,145.319
08izEVjMLhn8TtO7huHUhd,0.032,127.989
1Z77vM2lmTGVIgbQbr3j9h,0.0373,97.572
5q2KGgJV5l4MAnnGIrvKSK,0.0595,131.045
0tQfrNzsjBDR2LKO76fiog,0.0289,82.988
2kBpsXKH2hCUDslEcvS0FK,0.0751,128.007
3SEd8nPd8MpGwk6ZZ8tk2j,0.0819,115.021
2xt2piJx6jlFkjS77YiqpL,0.0276,107.849
0zanYPYufjBCSxv6zlb82C,0.112,107.906
4kgd0pyMhITxnnRbalpCNi,0.0304,87.433
1KDYN3odJHnj9pqGHN3FVs,0.0929,129.774
4pqPBrTkC6DuGCi3l7nAo5,0.0342,119.509
5CnQpEh55BqUPtT0GCLRqS,0.136,130.091
164U4YhE9LmtBty5QUJ0jq,0.0389,127.979
7zIxcV689lVTl924lAf9Kn,0.0536,148.522
5wnfZ7VjDpZNyfJkqc9I1d,0.244,78.185
4rr19p6NPfg8oUazZQnkS8,0.0682,98.044
3mvLOjO76e8DEvzMJ23Dk6,0.0369,174.085
12bCgkFnyyTI8B1OmmRhbx,0.0313,127.018
1NTTEPMrcMFhD1YUoGrta6,0.0734,108.016
6DRsEO5yuEGBF87qpyMB4d,0.112,103.006
4Lu0jVYDm8CXFOv959fQwa,0.234,138.052
0Y6VQpeVEkUl4ckTLCrQkO,0.076,125.458
6U6wRhOSc6gdXnm1lghwZt,0.225,112.796
0RFD2RGJWvSOtow1R2Wmyz,0.353,91.012
3jWo2yhB8vq8c2OMgPg25D,0.0382,83.933
70mIuBKGTPrWMwWq9D4F56,0.117,105.008
5G36Ny8Kkw0xyofPJXA55h,0.0517,134.932
7AUOZzM5P8UDuA0zga0PP8,0.028,90.261
6WNwlxXtQpr4h2gIJTG7fN,0.0474,109.801
10M2Ex445zw585Ducldzkw,0.0305,147.986
6vMmWF61OPyBT5Ghio77Pn,0.0729,173.017
32FJ75MXWMYWmmTw3NvKKy,0.0407,66.543
3p2kWxN82u4otc3jthgQyX,0.0398,71.437
3dLn6p5Uirtt5dwxAhYgz9,0.0347,88.233
305xhcwBs5dKxh8Uih0Svz,0.0336,121.01
3zKST4nk4QJE77oLjUZ0Ng,0.0436,125.014
6Nenm0bjHwjCbTet7Zb9VH,0.0326,118.974
0faXHILILebCGnJBPU6KJJ,0.0644,167.024
6O8fSAuSIA3wZZtOoMyEiT,0.0795,124.102
69m9WDPBvemwujQwdONslk,0.0267,126.628
3igkLltDaiFiMl83IdDBfm,0.0447,146.657
60Pjyla2BNnWzWxNXxGa4u,0.0751,97.886
1WDgdCoNSN0fosaTaLGXKU,0.0297,147.103
7xrODhgXFNVsRtKoyt5rJo,0.187,121.41
7F1LWA9sIlTorHUo4amGqk,0.206,160.035
2DGbSEkVncvcUJzFYN0V9y,0.177,148.439
7vK8LzKtHfvEok7VfSjpec,0.0356,71.969
2lE7oRoKssULAtbWViL385,0.0248,92.259
3q2yH1T78FptWtAmCpQlrG,0.0276,125.876
0Jh9EBGN205Yc7JN2zZ2f1,0.033,117.304
2gNRPDHT9jw2fIKLRpLgT9,0.0243,104.015
1AoZIZSOgkRlZrKXq2QduS,0.181,100.044
62aetSt8vAwjQ3TSW0vHku,0.046,99.022
2gTFMhHX7fDQuWAnyWIodb,0.113,140.03
1ei3g2hMYh1VKvik9FoUQR,0.2,174.05
2JZdz8L9NIvy4qBSXAyFPg,0.0912,154.876
3sOEdZiqjCYlEz84eRJXf7,0.0648,95.508
4p8QcNkaq2FQj8uGJ7HEDK,0.0434,169.275
1twBt7aZiy7HWPG025QGuP,0.0547,81.058
35OOosZ9qzXNIcnAQaoQc5,0.031,111.984
6OYRyNJGfqmIsHVpFKuNin,0.0371,152.36
12hrTdStYqC2lM5SAIQOcq,0.06,170.129
41WTP0gosjYD74B06uS2tL,0.0345,114.441
161DnLWsx1i3u1JT05lzqU,0.032,145.867
29E3HbhVMV3mQhJCSedfdN,0.145,93.015
2Jfsw01CDT5XetSFROs9v5,0.0298,114.019
7INsqwNThfLFC9zKK1BYmq,0.0899,120.606
3bEIbBCkFaqzvtWjKdQ74c,0.0463,161.045
12D58FK59SgrfG1r7MDi4r,0.305,134.986
6xVq1aDD9zn13GW1JOsZMv,0.285,141.045
4bhoQCNYx5TjINvtSMiaAb,0.0403,122.036
1ySwd43oWXbrytN2BD0Mhb,0.0384,99.881
2IGr3q6ljcpLvHDFLtI0yW,0.0393,120.024
6SEMPEU6apmiDxdpjZJJRN,0.0317,90.346
4TuvXFT6bR3gWKAPCCn6qC,0.0684,71.049
63yOvxSAB02K45KDnZscS0,0.0425,135.034
3dO7Vxm1jCMMYERtT8MsDE,0.194,165.842
7MS3TwjalTx6Gw8SNQ9m5B,0.0395,169.881
6qJmwWF1eaeCvjYBDoPxTA,0.0601,172.146
1mXuMM6zjPgjL4asbBsgnt,0.049,124.071
5iaPOVEj7eizOrzpF3DOBA,0.0293,155.953
6IY2y3kjjLaNbxW4GLiYQR,0.348,126.98
69b5QMSpgvGhcjbQXzmxfP,0.0277,82.023
7GQKQW2FwHXU5UUdsSqYTx,0.0252,96.633
5p7sELomeqtq9ypH3VeVH1,0.26,110.021
4z8c9qkpiYghn6DCQ6yA0u,0.143,80.209
6hsP7b83RjEY51ENfo1ZOc,0.0367,184.232
5RpZiX7LwYUe8XPq90t5NC,0.0324,108.516
17ZnveSDBpG9QtL7zLJNPy,0.0311,82.016
2HjvWjnmRaJSphte4YgSJA,0.0515,84.039
2g3vpJiqwswGJbUOSkCWqC,0.0293,114.048
2q1NzvB9r7DZmQv6keL2pC,0.0301,98.287
0JWgxvEygxVoaiST8TNvkq,0.286,194.055
2npw9XuCQpHXM9ramYL4HR,0.272,157.99
5Z7baliHfcGiPr50lLyojs,0.0643,112.982
74zxAK1Gh3jTUE0SoHKF0f,0.0342,78.534
5GMIyySYsSpdu84MnuO7vd,0.0511,133.86
7HjJQunSPwkXXVnGeItUEH,0.04,113.023
3CQiEDDWrEIswL4Rmh4itr,0.0529,105.015
3u4rIcRR7gSoJdkJIx9zpu,0.0675,93.981
2GD8Ia7rtJzfgTIy20TaRI,0.0636,199.935
6Zgff84ArpQosabjzUhvlP,0.0398,127.01
2hQEm32MiAw2YVlR05tuL4,0.0333,122
3gaQbhacVKwcsatM0FlSa9,0.201,156.685
5XzG0GT1WntHu1N1T2UVDJ,0.0441,139.02
0OlS52TmtK2gPaEtdmr7DN,0.0718,171.987
4xKaAIRMff688GtmmDrvhh,0.077,119.824
3BXe9ZWHc05Ejzo51NuQVG,0.0288,130.055
2hld8Y0Kr96TwmIqyBhHQ8,0.033,105.083
1tGRfoeKD06YvZr6l3uwEk,0.0753,111.023
3inoWFYIvANzeicpROiqas,0.0386,111.981
5QgQeBU5kzNL93xWBfAoj6,0.154,152
2d5NS2muVoJ3vFClNn2XFR,0.0955,105.037
5g5JInWaesrtvrEyNZx3hC,0.0457,105.061
1q7gEXUesbygagLk7qhpOB,0.232,78.608
7KvkB61JnNKsCUDOMrqVcJ,0.0276,141.708
1nftNKx6O4GhgImhTyTs6B,0.0292,175.895
1t2tKmSYA61IA7scT1yoIn,0.0342,136.508
58TKUOfACHyUpWE5DisSVF,0.0294,143.865
5Eg6N02CTSSbdthjVc7wLA,0.416,126.388
4gVlRTTMDhemZwRkri6csp,0.368,139.009
7Mb7jOst43wPQELas93ARE,0.0559,104.311
3YD9EehnGOf88rGSZFrnHg,0.0356,145.125
74SsavAEjIpdslC0ud4KuL,0.21,76.698
1zX9ziH6fCwdtH3exHEIq8,0.0966,182.214
1yWlP9paRmFQ4W4xtRTSlW,0.04,123.991
5WPVwig7Tl6NFJ5BL6ONhd,0.0612,105.027
5DFPxLGSGHLNxNQDRhCjzr,0.0315,110.012
4afPlIW1ok4hY2UJCDkibk,0.179,136.004
53H0Xxf7BhAmbSprGkJL5m,0.03,79.553
5jl7mM8tQBXIjpbIQNRaYT,0.228,144.207
5oVlbbiKGdGeZkWCFy0mqk,0.158,124.978
11zRKpjEZwmcBBBGzB4pMn,0.112,127.05
0OTDDaqkoMvKpYFLa0C0RH,0.482,104.837
072nOX5nDAGalF8TC30EFv,0.0803,74.196
5mcWdITson4DJcYtH5xo0f,0.0288,131.117
2T4u39au5RJzsulMUpRuVr,0.0735,130
1FhbZvzP1zGhIEgtnmX7QN,0.181,199.984
55LhCEkBGFj95SyhuhlSE6,0.0304,105.999
2mzavoIyWtOt6EmFqBbNed,0.426,145.84
3YPlsrk0Voe8AOa1jyN891,0.043,150.109
4a8pP5X2lxwU5aprY44jLn,0.072,81.944
6gTRjSKPok0vqeP7yEqmYU,0.118,129.436
2zItQNJrVrTioXTXWiI2ed,0.0807,169.199
7yQwMfukSarej5MQLJ2Ico,0.0282,101.954
4rOMjhgtMX5G7a384fBZXa,0.035,104.007
6TvAYNcu1Yey6oj0awxsFj,0.0363,108.049
7HiXTSQDhDZcYN5Iv3iXfB,0.0435,103.992
1uoL9GX45dTnmrWQ7Ii1Ft,0.0704,131.973
1pF5hkdEGJv8xzLTvhy3PF,0.328,128.06
5AxwtTQJcrtCj3jhuqLxXB,0.0461,89.979
63e7gdWf1DtM6AVifeEzO9,0.0466,89.985
1Yx2hLDlw3q0j1zzamKjSd,0.0668,131.482
2Q6bndA2CeuoWUnErmWmmA,0.0922,124.047
2RwFo57JjznjveEqvBuRJX,0.392,159.299
7nYvUtkQMx1v80S2FH2s9J,0.216,95.265
44lUcHz7LXhvdlwLy8WsBg,0.042,135.129
2xv4vRPukRNAtdgyj7EqrT,0.0481,128.994
6SLTPbDxDYR0uSMTT7gSb7,0.0347,104.001
7xVLFuuYdAvcTfcP3IG3dS,0.142,130.009
45eF0AQGCTgkUJ3FoIYrbe,0.0515,131.386
03SrfAN9FVi3EacVu24SMZ,0.0458,125.975
1FcMWQ7VGTwefLi8WjAKR4,0.0655,103.003
5pvlhhanZskQqmMOrl7trD,0.0383,82.4
2QUkDpFgjXHcilqVkjixEe,0.241,86.766
1S6NpdvFXqHZfPUUEOIjtG,0.435,192.157
17iJKATAw3DB40kHFvKZiN,0.0616,139.669
6U42vzNLvHOEi1VUXuNBIe,0.726,80.104
2aDxbLGzbGA2brS6QvZSvD,0.193,149.826
5mAbeNmPiyJ089q3eptg8P,0.155,140.052
4CtnTpiz5nxuFVLu5cVevP,0.0263,92.078
3rYWhEu2SOBeEFLGRTumaK,0.0406,99.97
67eYhJkn6sG8cUr42ewVgw,0.057,110.973
6vBMMa2erexusV4XrgXea9,0.212,97.6
0TnN3SbTgg9vJePYjw4QHx,0.266,176.122
6xZjmlwgIk0tMwo8buLuzH,0.222,95.022
6AgtIN7FyBd4zJhZI7mrsz,0.0323,131.909
39mFPN0z66M4azlAljnFHc,0.254,94.802
606kdP3oFpQpz8XC4rlVyy,0.0389,99.987
2CPqh63wRVscbceKcPxwvv,0.029,90.037
4aoTZHeWFCbquvIBhAUZlL,0.0538,114.026
7eFcRtwTk6l75CK0b8Ae6L,0.0318,150.261
3m4L7nNtAYVeHVAuk6qYL5,0.0448,139.962
772sOrXtiGOYEZlX9tZHES,0.617,140.881
09DR0CbIOgx0zehtWKOAnd,0.0861,87.516
5Crm1pbONlPuh9MzVg8usZ,0.0402,139.347
0cOyO6VSiOdVms21hSHHEL,0.0661,144.933
2tPvXrTDTSGxE9Yv8VOkDZ,0.0404,149.845
47jgSvqlKwGyBLPnMfeEZN,0.0306,98.189
50pX7Pp17QyiH1isbv9EJ6,0.0427,112.418
3SMM3O7gngxPKmGXfcdkUk,0.0275,104.973
5SKc1kKg1zqbgioenr0AzL,0.025,104.962
519b0EgnM3Mya1Oib7wI2h,0.31,140.027
7gar9J7OVfmOVPilkwWODC,0.0782,124.045
6byH2KwTyfq76lucjvwX2I,0.255,104.065
2TiGHmGK5ZRb4AWUkcT5d3,0.4,119.846
34saS5yPSyoZ6QYwC7YGfe,0.0596,90.931
3EVzmJjuhRud75Ke8MOJNU,0.161,122.019
1cOyWWUr3oXJIxY0AjJEx9,0.041,91.507
1GlgypYztiALfbhTWTFyAP,0.0327,136.035
3H3OMA1T5wlD28HnOjnNID,0.0393,81.559
7skzxiQ9onnDohLlozE5JX,0.0766,94.629
6ac6RlvEhiFraIxBYHhg1j,0.0342,118.937
59aEpHrF6SUyufv92M14dE,0.0399,143.498
1TWhpLaqdToKoHHpFnCxsd,0.0271,120.079
4RIDWJOZTkSA5L0FaHI30f,0.0298,111.975
0qEDwhP24yWtUlBGUjY9ss,0.0335,111.987
4tG0cdbL7v4pQ8RWOqLDHx,0.0449,121.925
4Sv7Fo4bSpK0tM1WBspz4J,0.0476,123.961
5KSNxyuyp5K1kDT6LvX8oZ,0.128,136.219
4Un6pB4KZKekFh3SVIa9qB,0.03,141.098
5AmPClBlU5sK45i6kMSngt,0.0288,113.702
6XqpH9bHj7ODY1z4xI9n7E,0.0346,94.036
7azTF5nLnZ5lORBZaSs20D,0.0282,78.009
6GblOvCEnB585uNpz1K9Pd,0.0413,95.278
3NIGNOy2IYovypzQl6QxJZ,0.362,133.326
7pBcon5GqvUfn58HRfF8wv,0.045,187.27
0m6knGAWrs6bJfrN0zZ9Qy,0.0713,108.08
24bk2iKzr3VcymFnzIy3oS,0.0527,126.042
63wsuMhok6GgcBRd2strGk,0.108,131.306
0Hf4aIJpsN4Os2f0y0VqWl,0.158,135.956
1oAjmixCmhJjrDilWXxYli,0.0354,119.961
6Eo2pS8rX1wQIAgi7XGBfh,0.0299,116.726
1QWxddJmOhQb1vDdyTipMR,0.084,119.977
3tehrxZR8eaANHov4cEctL,0.148,136.208
5eSllZgRWCIJsDTAqFRwQw,0.0367,121.604
4BRnDHhEBlGT1pedGlC3Dy,0.0559,128.024
1D14PtAZlLWiBvxqngjrYp,0.052,125.821
5PIB8aoUJoCRh1O5TEGdOj,0.0335,115.384
4zYTZvtcww7OWKie7fxA9E,0.0586,89.976
4wyFoswwaXdn5MiH02mi6S,0.0775,170.029
7FC9Lng8iXU081lbigu8m8,0.0489,149.109
0OWZFobGSIW9GrSlQ9C5pc,0.029,85.028
3vUw0QM2U84y5648IQkjUQ,0.294,95.498
2rd9ETlulTbz6BYZcdvIE1,0.08,183.097
6MmnK5AF4N0jZVCLFWhgso,0.274,139.999
5nIu0VwPOsjkF61zfevLKh,0.0333,106.976
6YNGwX1U5yURgDyGrs936C,0.0706,43.149
2HsjJJL4DhPCzMlnaGv7ap,0.0333,123.135
02JHs4dLIRc3n2mxrJZDtA,0.03,115.798
3wsSJzxoAQYvMW891948TB,0.0315,123.973
07qJ1H9vQMFOS35cv2mntD,0.0291,147.432
4x0wdP2Kux6GYj2bAWHyO9,0.0383,155.988
39vly7Z4VLImfggnEDEUzf,0.0298,95.92
2kew7BXyWZRMeKCgWEKwke,0.0301,143.964
63oetnKhac4GhCmv5R5MJU,0.0687,179.862
0Ndim92MYsrFSseD9gbBcg,0.0335,167.658
0lOEOflAkoqLcgp0jqshcZ,0.212,93.007
7MUS0La2IQ85vJ59fQqtoN,0.0644,127.831
7vSWqa7dlcMCXrYR1Slt36,0.0368,86.423
2pYvd6cHcAIMAM6xMD6nok,0.0311,119.96
3Hv1DCU3Z0mPJa7UjqD0IG,0.0294,98.405
7yvxnSAfrtFBtbyauKU8PO,0.0305,88.446
2glODKy9vTwXzbFwiACdtS,0.0758,152.039
5G4EWUPsRcOrrusxmBTGZp,0.0332,77.504
5hskIppoyb46ET9OmigpWw,0.0548,128.083
49SL9f1Kz73p0bzsNPTY4l,0.0262,170.173
7x52042XQY5dhXkrzY5xHF,0.0328,95.162
7Ccgryqe1DOK3vbzV8Q6Bg,0.0696,117.911
5l2WIIoa7aSYP2OQpI4viV,0.0761,93.094
6MuPXPhS3MtWt9YTrQwqqC,0.0324,80.925
56AY1iF8R2nKzkyd9WqO5s,0.0293,126.057
3gdHUjZ6QHTPdrbGO7QPnN,0.0341,112.532
68EOi4YryBSmfSgPJmA7Wn,0.0314,107.295
40o6g3WCInNS7uFlI9rUZy,0.0464,136.096
2QMLICqo5TTiPv4BPD3N5t,0.0358,116.738
71xeFG0Qu7nufni5a0t8Xw,0.154,191.761
09AeUCeHSGqiriX1eyxacz,0.036,97.001
0DpwYSxKluFJxgIVZxfMtv,0.172,78.985
04jrgiz8tXWtOGZXQmfa6q,0.0432,141.069
1Rl40PsX4mh9xVOeGHq86B,0.0773,90.054
33CehYfkie4ugV2gWaTKlM,0.043,148.008
00pLvXMdSXJG8HLliuWTWt,0.0963,135.921
7ckBnwQgVliXftLgHlpx9g,0.109,152.001
1E0EOstQRm7YMhFpmDJzaB,0.173,140.941
5G9qKplB5e4lIpSncwKWVE,0.0254,89.951
44qDvdzGxsQMxY5YNBT0ta,0.111,160.013
1crSsvtU9wZB15dIQXV2QH,0.0531,94.037
3cW989C4C6FZ6IzUkw158j,0.0524,92.033
2hNuQ9oxN4rLNO9p2gqdSC,0.0807,149.365
0uRHot8ml8U8cYVwwzMwNT,0.0937,90.034
6H4G4c6FfWED02TqsFDPtC,0.127,128.978
28UMEtwyUUy5u0UWOVHwiI,0.0339,113.852
7avUYFehb1GscgCncPdBDK,0.0967,119.995
1DQrPZrUcoHteMEt69XTeW,0.0297,124.699
0uBWMWm5P6tuCiavbjPWS0,0.0307,104.924
6kHQvXDzuseaiyDQlDjzSJ,0.102,180.085
4v8EFy6xcWLgxkDlRkVpar,0.0474,104.522
02G8w6L5nlaK7M0e2Ytinu,0.0257,129.883
3OfDHWT1BMKh83Cvvbcleq,0.0308,171.866
5GKqqbNTxlHl3qXMXXd6hG,0.0306,139.958
2I8WLnpGYZsbQDU0JOtdYz,0.0663,150.15
5kLcFGFNn75xLr4q2HhSnp,0.175,175.998
3CyVKW61hB3Iv67kNMMVPt,0.037,83.537
08eReCl8B3bV1GA247IGc2,0.284,139.977
5rXkgeY6rpcHcsolCpXZHR,0.298,120.226
1HCw8XKtTgWWU3JlEUR0qQ,0.121,128.104
62LHRv9uwSNlBmByQF5jdE,0.0626,122.683
4DizYQms4WWpncmn6dvrI9,0.149,134.029
12lZTPlXwUtrQuhEty6098,0.0897,122.028
5WmiUlGNdcIPe2SYWSsz6q,0.365,83.111
34izzOmykADkGT27pUjUvJ,0.0519,103.04
35kahykNu00FPysz3C2euR,0.0358,113.992
71H2uM35Ax7Cq5nj9lnGq1,0.034,130.013
6rjMQscV8vUrjKXAsU9hNi,0.0331,78.827
3kp0xPz1N4HmNzLvcVQ4mp,0.0392,117.122
06NVXNLIDTQumfjwGKIBzh,0.0693,209.631
437h9GRi70A1BzMzh4cyra,0.0251,96.041
13XelpE4iN9dUG9R5lavqu,0.0287,113.59
2x0l9ZSlFXlDTByKu5NXdK,0.0606,166.944
07BAaeVwEwkzQrE3qJxJ5S,0.0775,93.022
0VwTeYNjcl30DyQlt3GPe0,0.0261,115.193
44e84JcEUfOs9cNGu8nwU5,0.0555,120.996
3ExkycVpwb2mCZ6MsJuECz,0.0473,188.09
6gN9FblT61DKSTFbMbeoRl,0.0745,138.042
49TOJQPrJvBjk588YJozEB,0.0564,99.836
41iTybeZlSGdEKUaEYz8Ye,0.035,136.836
5LdRoNeeEENQfmvVt8hhbM,0.0361,121.693
5x16l3ynAXYj6Uq2NYmxrj,0.0371,92.444
2W8KLQG6czohFHvsvR63j0,0.0456,125.986
1z9gIp0LTTIbKdfj2lk2lT,0.0495,124.992
6XlJ3oB4hs6r25V7iFQHqJ,0.0662,105.212
1Se858cFyzqNuGhGcOF9qy,0.138,175.755
61SfWKF2pMkVxg5EvLGIFq,0.0305,160.087
0lQ08hbjK1umHjCYvUrmCp,0.0588,123.01
10eDxSTjwMBq1ZjZK5b1cK,0.101,143.036
0L9lXMXddmoBbBUeF7A9An,0.0462,103.85
6pvbS1retq34WubnKg7wcO,0.0956,139.985
6EcWBNVhDlGn8AiSpkUg6T,0.0557,79.94
6mCPuCWxPZJkVsj0FFho4p,0.0375,119.786
1t8T9As8EvtJ38XsZtwG3c,0.0907,146.547
2ukAou95c9hl2S4b86QIoz,0.167,89.982
0Q4a3PdGEME9w8Jgqa0Gf3,0.106,129.283
1ULYrErlsXHp6rzBQD0LmY,0.0313,126.291
5PANi1KDkq9tzGWsLZ2kO3,0.0362,82.559
7ih9bLu9DgdO3LZ5dpunz9,0.029,94.999
2TtXOUpsedWUF8vjgVmexR,0.0481,122.45
3PFaFVWq5wucLu6s4baj9D,0.276,79.89
4cWwkJxCz6Xu0gOkvbTadt,0.0658,128.013
6GZeLGQrcw68odXY2P5pDu,0.246,166.154
07pJdL0L9XDGW0HBj0rIS2,0.425,75.474
4k9EAtZdZrzPlBUsFncXCZ,0.0977,121.999
4pruGLEd2plhfOmusGTGdq,0.0466,106.984
3e8tFSf7OxPlNNGu3dJUqJ,0.0512,113.798
09Tlh7Qom3THqI7yA7i5Hf,0.0361,88.449
5NnZ4JJxWiqqhYNu3rwmFj,0.0369,132.359
5tkGPSTLxzDuj3UQqMTV7B,0.0472,150.87
5vrMgnyrAxJ88q3E43bKvQ,0.0421,177.967
65B1tEOv5W294uCKbmEcFV,0.0295,151.278
3QHMxEOAGD51PDlbFPHLyJ,0.0342,105.018
0dMd4rilfd6gPbXaLpNYhu,0.0426,125.474
7jkWXm5j2er2KfsCRPwWfy,0.0344,120.998
5XUVWIOICLzDB5scsFzqkh,0.036,113.089
5VTCc6F12w39dCpQS4xtej,0.0287,82.499
6xzm6prZTb99kIrbblwQAU,0.0504,145.892
7uAz2K1fbf1snmWrdd6XWa,0.426,119.94
3tEaEExIZgghqhmHQMJswN,0.0447,127.023
6dnRsc4Vc4b0pXkaASCzdW,0.0318,116.91
5wokn9ia6HcvKiHhwGjOhc,0.0467,134.822
7o5XSnwPGqyzMfEVueBQnM,0.0524,125.095
5gFAT2DbEt4TOMXyAMEixG,0.126,134.91
5yWRKQ7UyGIDj5vVqwM7kd,0.0614,106.634
2Nv52rWLPoRebtWMQ362w6,0.0913,113.986
7svpAkwc6xaSxlbZ7V7JiS,0.0292,104.557
6cfvaTJkzw5j2hJqnwnyAk,0.0346,132.701
6lEIjrQNwJPecJ7mMXjhjo,0.278,92.296
7j2Y1jgU5ebtNnG26e607k,0.028,151.36
0luqG2fhUz17ncifrWqrut,0.365,160.054
2ZXWOCdQ2IJ63RBOjuQVR3,0.0933,120.014
3LwmXEZGgMUdkCgHbz7tBr,0.037,93.994
5moUyr5BliVwQpLYzfn5tr,0.0331,126.883
7efxqCVRrMVMdOoi746wRv,0.291,173.951
3PHGWTMoL4X0j2kSmwa5gw,0.326,183.465
2TIEeLrOQrGnO2D2OeDDJu,0.0293,118.399
3H6HjEBx1NpB0MsWlgT9Gt,0.0312,136.029
0tPKjqP3T1vSvmLz2zrCSl,0.0445,88.284
4YK48OgaAKpBEaRS7ZhCuf,0.0654,131.03
2qWTGIvj3t9VdkggzllU8G,0.342,88.96
3KzgdYUlqV6TOG7JCmx2Wg,0.0369,136.483
4TGjzXm4Mpo4zScpdqBkMf,0.0358,123.994
5eHKOG5c9BpOJbgihpjlHB,0.0438,137.996
3njxLkJ3ZimtxHey6mVS4i,0.0364,110.787
1cktZnxiONH0hR6Q3DKy8h,0.0318,113.044
4PuYC4SDoDHQFfKc0ljOZN,0.157,170.005
74szKz67nZW4SVIyALi1Ia,0.0349,127.019
5VRrdKsndpcgbtFbAMRVJb,0.0394,130.076
76gUmNLXGQVOsGhfcshkFP,0.166,105.992
7wLXPeXRe8PYbebiQd9oWF,0.0378,72.469
6LEyiXT5LMZx5fYfth341w,0.0387,118.423
6CTYsei8EUdOwtV2443BqZ,0.204,93.119
6XimI1O15wpfwUdrCnlrxo,0.0462,94.012
5aopERWST8W8qKLZRiGkH4,0.0382,125.012
6ACiYjq5Q7e6BlhZEHz7cd,0.0579,112.984
